"","rawRT","key","slide_type","workerid","image","audio","Answer.condition","Answer.time_in_minutes","slide_number","age_group","qud"
"211","1499","Yes","trial_2",2,"5","five.wav","any_QUD",13.7938,54,"age1","any"
"212","1471","No","trial_2",2,"0","summa.wav","any_QUD",13.7938,55,"age1","any"
"213","1191","Yes","trial_2",2,"8","eight.wav","any_QUD",13.7938,56,"age1","any"
"214","919","Yes","trial_2",2,"13","all.wav","any_QUD",13.7938,57,"age1","any"
"215","1596","No","trial_2",2,"13","summa.wav","any_QUD",13.7938,58,"age1","any"
"216","3284","No","trial_2",2,"13","ten.wav","any_QUD",13.7938,59,"age1","any"
"217","1937","Yes","trial_2",2,"2","summa.wav","any_QUD",13.7938,60,"age1","any"
"218","1413","No","trial_2",2,"5","all.wav","any_QUD",13.7938,61,"age1","any"
"219","1418","No","trial_2",2,"8","all.wav","any_QUD",13.7938,62,"age1","any"
"220","1978","No","trial_2",2,"13","summa.wav","any_QUD",13.7938,63,"age1","any"
"221","2266","No","trial_2",2,"11","one.wav","any_QUD",13.7938,64,"age1","any"
"222","1428","No","trial_2",2,"13","none.wav","any_QUD",13.7938,65,"age1","any"
"223","1340","Yes","trial_2",2,"5","five.wav","any_QUD",13.7938,66,"age1","any"
"224","1804","Yes","trial_2",2,"0","none.wav","any_QUD",13.7938,67,"age1","any"
"225","1282","No","trial_2",2,"2","none.wav","any_QUD",13.7938,68,"age1","any"
"226","1634","No","trial_2",2,"0","summa.wav","any_QUD",13.7938,69,"age1","any"
"227","1588","Yes","trial_2",2,"5","nine.wav","any_QUD",13.7938,70,"age1","any"
"228","10118","Yes","trial_2",2,"8","eight.wav","any_QUD",13.7938,71,"age1","any"
"229","1076","Yes","trial_2",2,"2","two.wav","any_QUD",13.7938,72,"age1","any"
"230","1371","No","trial_2",2,"0","all.wav","any_QUD",13.7938,73,"age1","any"
"231","1034","Yes","trial_2",2,"13","all.wav","any_QUD",13.7938,74,"age1","any"
"232","1427","No","trial_2",2,"13","summa.wav","any_QUD",13.7938,75,"age1","any"
"233","1462","No","trial_2",2,"11","all.wav","any_QUD",13.7938,76,"age1","any"
"234","972","Yes","trial_2",2,"13","all.wav","any_QUD",13.7938,77,"age1","any"
"235","1434","No","trial_2",2,"2","twelve.wav","any_QUD",13.7938,78,"age1","any"
"236","2078","Yes","trial_2",2,"11","summa.wav","any_QUD",13.7938,79,"age1","any"
"237","1976","No","trial_2",2,"8","two.wav","any_QUD",13.7938,80,"age1","any"
"238","1456","No","trial_2",2,"13","five.wav","any_QUD",13.7938,81,"age1","any"
"239","4268","Yes","trial_2",2,"11","eleven.wav","any_QUD",13.7938,82,"age1","any"
"240","1497","No","trial_2",2,"13","summa.wav","any_QUD",13.7938,83,"age1","any"
"241","0","Sarah","bot_check",3,"Sarah","","any_QUD",11.19175,1,"age1","any"
"242","0","Four","audio_check",3,"","","any_QUD",11.19175,3,"age1","any"
"243","0","Empty","comprehension_check_1",3,"","","any_QUD",11.19175,4,"age1","any"
"244","0","Jam","comprehension_check_1",3,"","","any_QUD",11.19175,4,"age1","any"
"245","1522","No","practice_trial",3,"13","none.wav","any_QUD",11.19175,6,"age1","any"
"246","1540","Yes","practice_trial",3,"13","all.wav","any_QUD",11.19175,7,"age1","any"
"247","1636","No","practice_trial",3,"0","all.wav","any_QUD",11.19175,8,"age1","any"
"248","1612","Yes","practice_trial",3,"0","none.wav","any_QUD",11.19175,9,"age1","any"
"249","2459","Yes","trial_1",3,"13","summa.wav","any_QUD",11.19175,11,"age1","any"
"250","1675","Yes","trial_1",3,"0","none.wav","any_QUD",11.19175,12,"age1","any"
"251","3044","Yes","trial_1",3,"8","eight.wav","any_QUD",11.19175,13,"age1","any"
"252","1795","No","trial_1",3,"0","summa.wav","any_QUD",11.19175,14,"age1","any"
"253","1614","No","trial_1",3,"2","all.wav","any_QUD",11.19175,15,"age1","any"
"254","2132","Yes","trial_1",3,"8","summa.wav","any_QUD",11.19175,16,"age1","any"
"255","1645","Yes","trial_1",3,"13","all.wav","any_QUD",11.19175,17,"age1","any"
"256","4340","Yes","trial_1",3,"13","summa.wav","any_QUD",11.19175,18,"age1","any"
"257","1684","Yes","trial_1",3,"2","two.wav","any_QUD",11.19175,19,"age1","any"
"258","1445","No","trial_1",3,"5","all.wav","any_QUD",11.19175,20,"age1","any"
"259","11724","No","trial_1",3,"11","thirteen.wav","any_QUD",11.19175,21,"age1","any"
"260","1812","No","trial_1",3,"8","none.wav","any_QUD",11.19175,22,"age1","any"
"261","2196","No","trial_1",3,"13","eight.wav","any_QUD",11.19175,23,"age1","any"
"262","1541","Yes","trial_1",3,"2","two.wav","any_QUD",11.19175,24,"age1","any"
"263","1548","Yes","trial_1",3,"13","all.wav","any_QUD",11.19175,25,"age1","any"
"264","1996","No","trial_1",3,"5","four.wav","any_QUD",11.19175,26,"age1","any"
"265","2364","No","trial_1",3,"8","eleven.wav","any_QUD",11.19175,27,"age1","any"
"266","1419","No","trial_1",3,"0","five.wav","any_QUD",11.19175,28,"age1","any"
"267","4580","Yes","trial_1",3,"11","eleven.wav","any_QUD",11.19175,29,"age1","any"
"268","1579","No","trial_1",3,"11","all.wav","any_QUD",11.19175,30,"age1","any"
"269","1589","Yes","trial_1",3,"2","two.wav","any_QUD",11.19175,31,"age1","any"
"270","3740","Yes","trial_1",3,"13","summa.wav","any_QUD",11.19175,32,"age1","any"
"271","1596","Yes","trial_1",3,"5","summa.wav","any_QUD",11.19175,33,"age1","any"
"272","3310","Yes","trial_1",3,"13","summa.wav","any_QUD",11.19175,34,"age1","any"
"273","1404","Yes","trial_1",3,"2","two.wav","any_QUD",11.19175,35,"age1","any"
"274","1620","Yes","trial_1",3,"5","five.wav","any_QUD",11.19175,36,"age1","any"
"275","1469","Yes","trial_1",3,"8","eight.wav","any_QUD",11.19175,37,"age1","any"
"276","1627","Yes","trial_1",3,"13","all.wav","any_QUD",11.19175,38,"age1","any"
"277","1475","No","trial_1",3,"0","summa.wav","any_QUD",11.19175,39,"age1","any"
"278","1379","No","trial_1",3,"0","all.wav","any_QUD",11.19175,40,"age1","any"
"279","1548","No","trial_1",3,"5","ten.wav","any_QUD",11.19175,41,"age1","any"
"280","1540","Yes","trial_1",3,"0","none.wav","any_QUD",11.19175,42,"age1","any"
"281","2156","No","trial_1",3,"11","none.wav","any_QUD",11.19175,43,"age1","any"
"282","1701","No","trial_1",3,"0","eleven.wav","any_QUD",11.19175,44,"age1","any"
"283","1796","No","trial_1",3,"11","seven.wav","any_QUD",11.19175,45,"age1","any"
"284","1532","Yes","trial_1",3,"13","all.wav","any_QUD",11.19175,46,"age1","any"
"285","0","Jam","comprehension_check_2",3,"","","any_QUD",11.19175,47,"age1","any"
"286","1427","No","trial_2",3,"8","all.wav","any_QUD",11.19175,48,"age1","any"
"287","1460","Yes","trial_2",3,"0","none.wav","any_QUD",11.19175,49,"age1","any"
"288","1579","Yes","trial_2",3,"13","all.wav","any_QUD",11.19175,50,"age1","any"
"289","1651","No","trial_2",3,"13","ten.wav","any_QUD",11.19175,51,"age1","any"
"290","1588","No","trial_2",3,"5","all.wav","any_QUD",11.19175,52,"age1","any"
"291","2699","Yes","trial_2",3,"8","eight.wav","any_QUD",11.19175,53,"age1","any"
"292","1492","Yes","trial_2",3,"5","five.wav","any_QUD",11.19175,54,"age1","any"
"293","1340","Yes","trial_2",3,"2","two.wav","any_QUD",11.19175,55,"age1","any"
"294","1972","Yes","trial_2",3,"13","summa.wav","any_QUD",11.19175,56,"age1","any"
"295","1487","No","trial_2",3,"0","summa.wav","any_QUD",11.19175,57,"age1","any"
"296","1620","Yes","trial_2",3,"13","summa.wav","any_QUD",11.19175,58,"age1","any"
"297","1724","Yes","trial_2",3,"8","eight.wav","any_QUD",11.19175,59,"age1","any"
"298","1348","No","trial_2",3,"0","three.wav","any_QUD",11.19175,60,"age1","any"
"299","1445","Yes","trial_2",3,"13","all.wav","any_QUD",11.19175,61,"age1","any"
"300","1636","No","trial_2",3,"11","one.wav","any_QUD",11.19175,62,"age1","any"
"301","1467","No","trial_2",3,"5","two.wav","any_QUD",11.19175,63,"age1","any"
"302","1643","Yes","trial_2",3,"2","summa.wav","any_QUD",11.19175,64,"age1","any"
"303","1468","No","trial_2",3,"13","none.wav","any_QUD",11.19175,65,"age1","any"
"304","1788","No","trial_2",3,"5","nine.wav","any_QUD",11.19175,66,"age1","any"
