"audio","Answer.time_in_minutes","response","workerid","slide_type","slide_number","Answer.condition","image","speaker_cond"
"some.wav",15.1379666666667,"[7335, 'Yes']",2,"trial_1",11,"all_QUD","13","all"
"five.wav",15.1379666666667,"[3686, 'Yes']",2,"trial_1",12,"all_QUD","0","all"
"some.wav",15.1379666666667,"[1748, 'Yes']",2,"trial_1",13,"all_QUD","8","all"
"thirteen.wav",15.1379666666667,"[2808, 'Yes']",2,"trial_1",14,"all_QUD","8","all"
"all.wav",15.1379666666667,"[5484, 'Yes']",2,"trial_1",15,"all_QUD","13","all"
"two.wav",15.1379666666667,"[1461, 'Yes']",2,"trial_1",16,"all_QUD","2","all"
"all.wav",15.1379666666667,"[1832, 'Yes']",2,"trial_1",17,"all_QUD","13","all"
"all.wav",15.1379666666667,"[1781, 'No']",2,"trial_1",18,"all_QUD","2","all"
"none.wav",15.1379666666667,"[2239, 'No']",2,"trial_1",19,"all_QUD","8","all"
"four.wav",15.1379666666667,"[2468, 'No']",2,"trial_1",20,"all_QUD","5","all"
"two.wav",15.1379666666667,"[1601, 'Yes']",2,"trial_1",21,"all_QUD","2","all"
"none.wav",15.1379666666667,"[2393, 'Yes']",2,"trial_1",22,"all_QUD","0","all"
"all.wav",15.1379666666667,"[2372, 'No']",2,"trial_1",23,"all_QUD","5","all"
"eleven.wav",15.1379666666667,"[5046, 'No']",2,"trial_1",24,"all_QUD","8","all"
"some.wav",15.1379666666667,"[2685, 'No']",2,"trial_1",25,"all_QUD","0","all"
"eight.wav",15.1379666666667,"[2823, 'No']",2,"trial_1",26,"all_QUD","13","all"
"eight.wav",15.1379666666667,"[2433, 'No']",2,"trial_1",27,"all_QUD","8","all"
"some.wav",15.1379666666667,"[2658, 'No']",2,"trial_1",28,"all_QUD","13","all"
"ten.wav",15.1379666666667,"[2057, 'No']",2,"trial_1",29,"all_QUD","5","all"
"some.wav",15.1379666666667,"[2157, 'Yes']",2,"trial_1",30,"all_QUD","5","all"
"all.wav",15.1379666666667,"[2056, 'Yes']",2,"trial_1",31,"all_QUD","13","all"
"some.wav",15.1379666666667,"[1746, 'Yes']",2,"trial_1",32,"all_QUD","13","all"
"two.wav",15.1379666666667,"[1302, 'Yes']",2,"trial_1",33,"all_QUD","2","all"
"none.wav",15.1379666666667,"[2661, 'Yes']",2,"trial_1",34,"all_QUD","0","all"
"two.wav",15.1379666666667,"[1667, 'Yes']",2,"trial_1",35,"all_QUD","2","all"
"eight.wav",15.1379666666667,"[4945, 'Yes']",2,"trial_1",36,"all_QUD","8","all"
"eleven.wav",15.1379666666667,"[4424, 'Yes']",2,"trial_1",37,"all_QUD","11","all"
"eleven.wav",15.1379666666667,"[1674, 'No']",2,"trial_1",38,"all_QUD","0","all"
"five.wav",15.1379666666667,"[1588, 'Yes']",2,"trial_1",39,"all_QUD","5","all"
"all.wav",15.1379666666667,"[2238, 'No']",2,"trial_1",40,"all_QUD","0","all"
"seven.wav",15.1379666666667,"[3105, 'No']",2,"trial_1",41,"all_QUD","11","all"
