"Answer.time_in_minutes","image","audio","response","workerid","Answer.condition","slide_type","slide_number","speaker_cond"
12.8061333333333,"0","all.wav","[2077, 'No']",2,"age1-anyQUD","trial_1",46,"r1-age1-any"
12.8061333333333,"","","[0, 'Jam']",2,"age1-anyQUD","comprehension_check_2",47,"r1-age1-any"
12.8061333333333,"0","summa.wav","[2124, 'No']",2,"age1-anyQUD","trial_2",48,"r1-age1-any"
12.8061333333333,"11","one.wav","[2217, 'No']",2,"age1-anyQUD","trial_2",49,"r1-age1-any"
12.8061333333333,"2","two.wav","[2291, 'Yes']",2,"age1-anyQUD","trial_2",50,"r1-age1-any"
12.8061333333333,"0","three.wav","[2289, 'No']",2,"age1-anyQUD","trial_2",51,"r1-age1-any"
12.8061333333333,"13","ten.wav","[3670, 'No']",2,"age1-anyQUD","trial_2",52,"r1-age1-any"
12.8061333333333,"8","eight.wav","[3248, 'Yes']",2,"age1-anyQUD","trial_2",53,"r1-age1-any"
12.8061333333333,"13","all.wav","[1969, 'Yes']",2,"age1-anyQUD","trial_2",54,"r1-age1-any"
12.8061333333333,"5","all.wav","[2102, 'No']",2,"age1-anyQUD","trial_2",55,"r1-age1-any"
12.8061333333333,"13","summa.wav","[2770, 'No']",2,"age1-anyQUD","trial_2",56,"r1-age1-any"
12.8061333333333,"13","all.wav","[2173, 'Yes']",2,"age1-anyQUD","trial_2",57,"r1-age1-any"
12.8061333333333,"13","summa.wav","[2380, 'No']",2,"age1-anyQUD","trial_2",58,"r1-age1-any"
12.8061333333333,"2","summa.wav","[2318, 'Yes']",2,"age1-anyQUD","trial_2",59,"r1-age1-any"
12.8061333333333,"13","none.wav","[2355, 'No']",2,"age1-anyQUD","trial_2",60,"r1-age1-any"
12.8061333333333,"5","five.wav","[2231, 'Yes']",2,"age1-anyQUD","trial_2",61,"r1-age1-any"
12.8061333333333,"8","all.wav","[1972, 'No']",2,"age1-anyQUD","trial_2",62,"r1-age1-any"
12.8061333333333,"5","two.wav","[1977, 'No']",2,"age1-anyQUD","trial_2",63,"r1-age1-any"
12.8061333333333,"0","none.wav","[1842, 'Yes']",2,"age1-anyQUD","trial_2",64,"r1-age1-any"
12.8061333333333,"8","eight.wav","[6407, 'Yes']",2,"age1-anyQUD","trial_2",65,"r1-age1-any"
12.8061333333333,"11","all.wav","[1885, 'No']",2,"age1-anyQUD","trial_2",66,"r1-age1-any"
12.8061333333333,"11","eleven.wav","[5054, 'Yes']",2,"age1-anyQUD","trial_2",67,"r1-age1-any"
12.8061333333333,"13","summa.wav","[1958, 'No']",2,"age1-anyQUD","trial_2",68,"r1-age1-any"
12.8061333333333,"8","eight.wav","[3031, 'Yes']",2,"age1-anyQUD","trial_2",69,"r1-age1-any"
12.8061333333333,"0","all.wav","[1816, 'No']",2,"age1-anyQUD","trial_2",70,"r1-age1-any"
12.8061333333333,"5","five.wav","[2073, 'Yes']",2,"age1-anyQUD","trial_2",71,"r1-age1-any"
12.8061333333333,"11","summa.wav","[2044, 'Yes']",2,"age1-anyQUD","trial_2",72,"r1-age1-any"
12.8061333333333,"13","five.wav","[1979, 'No']",2,"age1-anyQUD","trial_2",73,"r1-age1-any"
12.8061333333333,"8","two.wav","[2590, 'No']",2,"age1-anyQUD","trial_2",74,"r1-age1-any"
12.8061333333333,"2","none.wav","[2057, 'No']",2,"age1-anyQUD","trial_2",75,"r1-age1-any"
12.8061333333333,"5","nine.wav","[2077, 'No']",2,"age1-anyQUD","trial_2",76,"r1-age1-any"
12.8061333333333,"0","none.wav","[2025, 'Yes']",2,"age1-anyQUD","trial_2",77,"r1-age1-any"
12.8061333333333,"2","two.wav","[1946, 'Yes']",2,"age1-anyQUD","trial_2",78,"r1-age1-any"
12.8061333333333,"13","summa.wav","[1998, 'No']",2,"age1-anyQUD","trial_2",79,"r1-age1-any"
12.8061333333333,"13","all.wav","[2008, 'Yes']",2,"age1-anyQUD","trial_2",80,"r1-age1-any"
12.8061333333333,"2","twelve.wav","[2115, 'No']",2,"age1-anyQUD","trial_2",81,"r1-age1-any"
12.8061333333333,"0","summa.wav","[2180, 'No']",2,"age1-anyQUD","trial_2",82,"r1-age1-any"
12.8061333333333,"13","all.wav","[1923, 'Yes']",2,"age1-anyQUD","trial_2",83,"r1-age1-any"
12.3765333333333,"Patricia","","[0, 'Patricia']",3,"age1-anyQUD","bot_check",1,"r1-age1-any"
12.3765333333333,"","","[0, 'Four']",3,"age1-anyQUD","audio_check",3,"r1-age1-any"
