"","rawRT","key","audio","age_group","qud","slide_type","image","slide_number","workerid","Answer.time_in_minutes","speaker_cond"
"174","4267","Yes","eight.wav","age1","allQUD","trial_1","8",17,2,14.6974166666667,"age1all"
"175","2835","No","summa.wav","age1","allQUD","trial_1","13",18,2,14.6974166666667,"age1all"
"176","1726","Yes","two.wav","age1","allQUD","trial_1","2",19,2,14.6974166666667,"age1all"
"177","2828","Yes","two.wav","age1","allQUD","trial_1","2",20,2,14.6974166666667,"age1all"
"178","2277","No","all.wav","age1","allQUD","trial_1","5",21,2,14.6974166666667,"age1all"
"179","2628","No","four.wav","age1","allQUD","trial_1","5",22,2,14.6974166666667,"age1all"
"180","2043","No","none.wav","age1","allQUD","trial_1","0",23,2,14.6974166666667,"age1all"
"181","3315","Yes","summa.wav","age1","allQUD","trial_1","8",24,2,14.6974166666667,"age1all"
"182","1980","No","none.wav","age1","allQUD","trial_1","8",25,2,14.6974166666667,"age1all"
"183","2173","No","all.wav","age1","allQUD","trial_1","2",26,2,14.6974166666667,"age1all"
"184","6765","No","thirteen.wav","age1","allQUD","trial_1","11",27,2,14.6974166666667,"age1all"
"185","5278","No","summa.wav","age1","allQUD","trial_1","13",28,2,14.6974166666667,"age1all"
"186","4441","Yes","all.wav","age1","allQUD","trial_1","13",29,2,14.6974166666667,"age1all"
"187","6630","Yes","eleven.wav","age1","allQUD","trial_1","11",30,2,14.6974166666667,"age1all"
"188","1595","Yes","two.wav","age1","allQUD","trial_1","2",31,2,14.6974166666667,"age1all"
"189","1942","No","eleven.wav","age1","allQUD","trial_1","0",32,2,14.6974166666667,"age1all"
"190","2115","No","summa.wav","age1","allQUD","trial_1","13",33,2,14.6974166666667,"age1all"
"191","3996","Yes","eight.wav","age1","allQUD","trial_1","8",34,2,14.6974166666667,"age1all"
"192","1947","No","ten.wav","age1","allQUD","trial_1","5",35,2,14.6974166666667,"age1all"
"193","1757","Yes","two.wav","age1","allQUD","trial_1","2",36,2,14.6974166666667,"age1all"
"194","2212","No","none.wav","age1","allQUD","trial_1","11",37,2,14.6974166666667,"age1all"
"195","2405","No","seven.wav","age1","allQUD","trial_1","11",38,2,14.6974166666667,"age1all"
"196","1766","No","summa.wav","age1","allQUD","trial_1","13",39,2,14.6974166666667,"age1all"
"197","5532","Yes","five.wav","age1","allQUD","trial_1","5",40,2,14.6974166666667,"age1all"
"198","1660","No","summa.wav","age1","allQUD","trial_1","0",41,2,14.6974166666667,"age1all"
"199","1917","Yes","summa.wav","age1","allQUD","trial_1","5",42,2,14.6974166666667,"age1all"
"200","1556","No","all.wav","age1","allQUD","trial_1","0",43,2,14.6974166666667,"age1all"
"201","1509","No","none.wav","age1","allQUD","trial_1","0",44,2,14.6974166666667,"age1all"
"202","1954","Yes","all.wav","age1","allQUD","trial_1","13",45,2,14.6974166666667,"age1all"
"203","1590","No","all.wav","age1","allQUD","trial_1","11",46,2,14.6974166666667,"age1all"
"204","0","Empty","","age1","allQUD","comprehension_check_2","",47,2,14.6974166666667,"age1all"
"205","6044","No","three.wav","age1","allQUD","trial_2","0",48,2,14.6974166666667,"age1all"
"206","4876","Yes","summa.wav","age1","allQUD","trial_2","2",49,2,14.6974166666667,"age1all"
"207","1564","Yes","two.wav","age1","allQUD","trial_2","2",50,2,14.6974166666667,"age1all"
"208","1893","No","two.wav","age1","allQUD","trial_2","5",51,2,14.6974166666667,"age1all"
"209","1900","No","one.wav","age1","allQUD","trial_2","11",52,2,14.6974166666667,"age1all"
"210","1452","No","none.wav","age1","allQUD","trial_2","13",53,2,14.6974166666667,"age1all"
"211","1588","No","summa.wav","age1","allQUD","trial_2","13",54,2,14.6974166666667,"age1all"
"212","1949","Yes","five.wav","age1","allQUD","trial_2","5",55,2,14.6974166666667,"age1all"
"213","12516","No","summa.wav","age1","allQUD","trial_2","13",56,2,14.6974166666667,"age1all"
"214","1670","No","summa.wav","age1","allQUD","trial_2","0",57,2,14.6974166666667,"age1all"
"215","1508","No","all.wav","age1","allQUD","trial_2","5",58,2,14.6974166666667,"age1all"
"216","3269","Yes","all.wav","age1","allQUD","trial_2","13",59,2,14.6974166666667,"age1all"
"217","5645","Yes","eight.wav","age1","allQUD","trial_2","8",60,2,14.6974166666667,"age1all"
"218","2100","No","all.wav","age1","allQUD","trial_2","8",61,2,14.6974166666667,"age1all"
"219","1950","Yes","none.wav","age1","allQUD","trial_2","0",62,2,14.6974166666667,"age1all"
"220","5971","No","ten.wav","age1","allQUD","trial_2","13",63,2,14.6974166666667,"age1all"
"221","1340","Yes","all.wav","age1","allQUD","trial_2","13",64,2,14.6974166666667,"age1all"
"222","4478","Yes","eight.wav","age1","allQUD","trial_2","8",65,2,14.6974166666667,"age1all"
"223","1748","No","twelve.wav","age1","allQUD","trial_2","2",66,2,14.6974166666667,"age1all"
"224","2789","Yes","summa.wav","age1","allQUD","trial_2","11",67,2,14.6974166666667,"age1all"
"225","1811","No","two.wav","age1","allQUD","trial_2","8",68,2,14.6974166666667,"age1all"
"226","1428","No","none.wav","age1","allQUD","trial_2","2",69,2,14.6974166666667,"age1all"
"227","4973","No","nine.wav","age1","allQUD","trial_2","5",70,2,14.6974166666667,"age1all"
"228","1861","No","all.wav","age1","allQUD","trial_2","11",71,2,14.6974166666667,"age1all"
"229","5613","Yes","eleven.wav","age1","allQUD","trial_2","11",72,2,14.6974166666667,"age1all"
"230","1563","Yes","all.wav","age1","allQUD","trial_2","13",73,2,14.6974166666667,"age1all"
"231","1460","No","five.wav","age1","allQUD","trial_2","13",74,2,14.6974166666667,"age1all"
"232","1779","Yes","all.wav","age1","allQUD","trial_2","13",75,2,14.6974166666667,"age1all"
"233","1739","Yes","none.wav","age1","allQUD","trial_2","0",76,2,14.6974166666667,"age1all"
"234","1339","Yes","two.wav","age1","allQUD","trial_2","2",77,2,14.6974166666667,"age1all"
"235","1555","No","summa.wav","age1","allQUD","trial_2","0",78,2,14.6974166666667,"age1all"
"236","3787","Yes","eight.wav","age1","allQUD","trial_2","8",79,2,14.6974166666667,"age1all"
"237","1556","No","all.wav","age1","allQUD","trial_2","0",80,2,14.6974166666667,"age1all"
"238","2725","No","summa.wav","age1","allQUD","trial_2","13",81,2,14.6974166666667,"age1all"
"239","1676","No","summa.wav","age1","allQUD","trial_2","13",82,2,14.6974166666667,"age1all"
"240","1683","Yes","five.wav","age1","allQUD","trial_2","5",83,2,14.6974166666667,"age1all"
"241","0","Mary","","age1","allQUD","bot_check","Mary",1,3,10.9324833333333,"age1all"
"242","0","Four","","age1","allQUD","audio_check","",3,3,10.9324833333333,"age1all"
"243","0","Empty","","age1","allQUD","comprehension_check_1","",4,3,10.9324833333333,"age1all"
"244","1855","No","none.wav","age1","allQUD","practice_trial","13",6,3,10.9324833333333,"age1all"
"245","1304","Yes","all.wav","age1","allQUD","practice_trial","13",7,3,10.9324833333333,"age1all"
"246","1212","No","all.wav","age1","allQUD","practice_trial","0",8,3,10.9324833333333,"age1all"
"247","1496","Yes","none.wav","age1","allQUD","practice_trial","0",9,3,10.9324833333333,"age1all"
"248","1742","Yes","two.wav","age1","allQUD","trial_1","2",11,3,10.9324833333333,"age1all"
"249","3472","No","eight.wav","age1","allQUD","trial_1","13",12,3,10.9324833333333,"age1all"
"250","1598","No","all.wav","age1","allQUD","trial_1","2",13,3,10.9324833333333,"age1all"
"251","1722","No","none.wav","age1","allQUD","trial_1","8",14,3,10.9324833333333,"age1all"
"252","1846","Yes","summa.wav","age1","allQUD","trial_1","8",15,3,10.9324833333333,"age1all"
"253","4985","No","thirteen.wav","age1","allQUD","trial_1","11",16,3,10.9324833333333,"age1all"
"254","6023","Yes","summa.wav","age1","allQUD","trial_1","13",17,3,10.9324833333333,"age1all"
"255","1780","No","five.wav","age1","allQUD","trial_1","0",18,3,10.9324833333333,"age1all"
"256","2026","No","all.wav","age1","allQUD","trial_1","5",19,3,10.9324833333333,"age1all"
"257","3329","Yes","summa.wav","age1","allQUD","trial_1","13",20,3,10.9324833333333,"age1all"
"258","2622","No","four.wav","age1","allQUD","trial_1","5",21,3,10.9324833333333,"age1all"
"259","2801","No","summa.wav","age1","allQUD","trial_1","0",22,3,10.9324833333333,"age1all"
"260","2373","No","eleven.wav","age1","allQUD","trial_1","8",23,3,10.9324833333333,"age1all"
"261","1400","Yes","none.wav","age1","allQUD","trial_1","0",24,3,10.9324833333333,"age1all"
"262","1374","Yes","all.wav","age1","allQUD","trial_1","13",25,3,10.9324833333333,"age1all"
"263","4638","Yes","eight.wav","age1","allQUD","trial_1","8",26,3,10.9324833333333,"age1all"
"264","1563","Yes","two.wav","age1","allQUD","trial_1","2",27,3,10.9324833333333,"age1all"
"265","1563","Yes","all.wav","age1","allQUD","trial_1","13",28,3,10.9324833333333,"age1all"
"266","1432","Yes","none.wav","age1","allQUD","trial_1","0",29,3,10.9324833333333,"age1all"
"267","1809","No","eleven.wav","age1","allQUD","trial_1","0",30,3,10.9324833333333,"age1all"
"268","2624","No","all.wav","age1","allQUD","trial_1","0",31,3,10.9324833333333,"age1all"
"269","2481","Yes","summa.wav","age1","allQUD","trial_1","13",32,3,10.9324833333333,"age1all"
"270","4431","Yes","eleven.wav","age1","allQUD","trial_1","11",33,3,10.9324833333333,"age1all"
"271","1597","No","summa.wav","age1","allQUD","trial_1","0",34,3,10.9324833333333,"age1all"
"272","1845","No","all.wav","age1","allQUD","trial_1","11",35,3,10.9324833333333,"age1all"
"273","3088","No","ten.wav","age1","allQUD","trial_1","5",36,3,10.9324833333333,"age1all"
"274","1653","Yes","all.wav","age1","allQUD","trial_1","13",37,3,10.9324833333333,"age1all"
"275","1393","Yes","two.wav","age1","allQUD","trial_1","2",38,3,10.9324833333333,"age1all"
"276","1399","Yes","five.wav","age1","allQUD","trial_1","5",39,3,10.9324833333333,"age1all"
"277","1401","Yes","all.wav","age1","allQUD","trial_1","13",40,3,10.9324833333333,"age1all"
"278","2004","No","none.wav","age1","allQUD","trial_1","11",41,3,10.9324833333333,"age1all"
"279","3051","Yes","eight.wav","age1","allQUD","trial_1","8",42,3,10.9324833333333,"age1all"
"280","1781","Yes","two.wav","age1","allQUD","trial_1","2",43,3,10.9324833333333,"age1all"
"281","3184","Yes","summa.wav","age1","allQUD","trial_1","5",44,3,10.9324833333333,"age1all"
"282","4631","No","seven.wav","age1","allQUD","trial_1","11",45,3,10.9324833333333,"age1all"
"283","3793","No","summa.wav","age1","allQUD","trial_1","13",46,3,10.9324833333333,"age1all"
"284","0","Empty","","age1","allQUD","comprehension_check_2","",47,3,10.9324833333333,"age1all"
"285","2190","Yes","none.wav","age1","allQUD","trial_2","0",48,3,10.9324833333333,"age1all"
"286","3207","Yes","eight.wav","age1","allQUD","trial_2","8",49,3,10.9324833333333,"age1all"
"287","2626","Yes","eight.wav","age1","allQUD","trial_2","8",50,3,10.9324833333333,"age1all"
"288","3448","Yes","five.wav","age1","allQUD","trial_2","5",51,3,10.9324833333333,"age1all"
"289","2338","No","all.wav","age1","allQUD","trial_2","8",52,3,10.9324833333333,"age1all"
"290","1638","Yes","all.wav","age1","allQUD","trial_2","13",53,3,10.9324833333333,"age1all"
